Well_ID,S.No,State,District,Taluka,Site,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality_New
W232200071580001,1,Gujarat,Ahmedabad,Mandal,Dalod,23.37,71.97,2020,8.2,16640.0,0,5176.0,822.0,26.0,1451.0,152.0,260.0,3535.0,45.0,1.0,11149.0,Poor
W231620072033001,2,Gujarat,Ahmedabad,Viramgam,Endla,23.27,71.06,2020,7.4,715.0,0,50.0,18.0,0.23000000000000004,280.0,56.0,34.0,47.0,11.0,0.46,479.0,Excellent
W222230071591001,3,Gujarat,Ahmedabad,Dhandhuka,Dhandhuka1,22.376073,71.987684,2020,8.2,7328.0,0,1546.0,494.0,220.0,681.0,72.0,122.0,1383.9999999999998,44.0,5.0,4910.0,Poor
W221745071565001,4,Gujarat,Ahmedabad,Dhandhuka,Tagadi1,22.296421,71.945626,2020,8.1,2960.0,0,269.0,798.0,43.0,550.0,132.0,54.0,437.0,24.0,0.8,1983.0,Poor
W220900071533001,5,Gujarat,Ahmedabad,Barwala,Barvala,22.162375,71.894176,2020,8.2,7338.0,0,1198.0,1002.0,33.0,380.0,32.0,73.0,1550.0,0.27,3.8,4916.0,Moderate
W220550071535001,6,Gujarat,Ahmedabad,Barwala,Lonjdhara,22.096372,71.893154,2020,8.2,1264.0,0,142.0,30.0,49.00000000000001,170.0,20.0,29.0,225.0,0.51,2.4,847.0,Excellent
W221830071413001,7,Gujarat,Ahmedabad,Ranpur,Rajpada,22.318608,71.69566,2020,8.1,708.0,0,57.0,30.0,37.0,240.0,40.08,34.0,70.0,0.31,0.73,474.0,Excellent
W221610071420001,8,Gujarat,Ahmedabad,Ranpur,Kundali,22.260329,71.668467,2020,8.2,735.0,0,35.0,17.0,11.0,310.0,44.00000000000001,49.0,45.0,0.26,0.37,491.99999999999994,Excellent
W213130071213001,9,Gujarat,Amreli,Lilia,Punjapadar,21.530495,71.359185,2020,7.1,436.0,0,35.0,38.0,0.39,80.0,24.0,4.9,68.0,4.2,0.51,292.0,Excellent
W191810084453301,10,Gujarat,Amreli,Lathi,Lathi,21.726976,71.382977,2020,8.2,1055.0,0,149.0,41.0,12.0,220.0,36.0,32.0,157.0,0.23,0.5,707.0,Excellent
W214330071280001,11,Gujarat,Amreli,Lathi,Tajpur,21.72537,71.461433,2020,7.9,444.0,0,28.0,19.0,5.5,160.0,40.0,15.0,37.0,1.94,0.4,297.0,Excellent
W214900071244501,12,Gujarat,Amreli,Lathi,Chavand,21.81105,71.40574,2020,8.1,607.0,0,35.0,23.0,5.2,210.0,40.0,27.0,57.99999999999999,0.9,0.4,407.0,Excellent
W215500071130001,13,Gujarat,Amreli,Babra,Untvad,21.906801,71.222832,2020,8.0,1215.0,0,156.0,57.0,174.0,510.0,128.0,46.0,63.0,0.38000000000000006,0.42,814.0,Moderate
W215730071121501,14,Gujarat,Amreli,Babra,Kotadapitha,21.951223,71.206321,2020,8.1,385.0,0,28.0,16.0,4.8,140.0,24.0,19.0,30.0,1.94,0.4,258.0,Excellent
W213945070590001,15,Gujarat,Amreli,Bagasara,Kunkavav,21.6555,70.980484,2020,7.8,1306.0,0,199.0,101.0,68.0,369.99999999999994,60.0,54.0,143.0,0.71,0.21999999999999997,875.0000000000001,Good
W213500070580001,16,Gujarat,Amreli,Bagasara,Vaghania juna,21.583441,70.969502,2020,8.0,1296.0,0,106.0,41.0,35.0,229.99999999999997,28.0,39.0,220.0,8.05,1.1,868.0000000000001,Excellent
W212845070574501,17,Gujarat,Amreli,Bagasara,Bagasara,21.476752,70.960818,2020,7.8,3589.0,0,780.0,260.0,230.0,1101.0,132.0,187.0,356.99999999999994,0.39,0.46,2405.0,Worst
W213630071133001,18,Gujarat,Amreli,Amreli,Amreli,21.609747,71.223979,2020,7.4,1280.0,0,199.0,96.0,50.0,410.0,100.0,39.0,112.0,1.3,0.14,858.0,Good
W213230071093001,19,Gujarat,Amreli,Amreli,Govadka,21.542967,71.157289,2020,7.6,507.0,0,50.0,26.0,18.0,160.0,32.0,19.0,50.0,9.5,0.29,340.0,Excellent
W213115071081001,20,Gujarat,Amreli,Amreli,Vankiya,21.539569,71.165526,2020,7.9,725.0,0,57.0,28.0,13.0,90.0,16.0,12.0,136.0,0.6700000000000002,0.69,486.0,Excellent
W212500071100001,21,Gujarat,Amreli,Dhari,Chalala,21.414865,71.165137,2020,8.2,580.0,0,71.0,32.0,8.8,200.0,36.0,27.0,52.0,0.99,0.21999999999999997,389.0,Excellent
W212234071070701,22,Gujarat,Amreli,Dhari,Morjhar,21.375768,71.113977,2020,7.8,833.0,0,121.0,30.0,22.0,330.0,60.0,44.0,61.0,0.3,0.18,558.0000000000001,Excellent
W212350071130001,23,Gujarat,Amreli,Dhari,Kerala,21.389715,71.217799,2020,8.1,1369.0,0,206.0,36.0,23.0,120.0,28.0,12.0,286.0,0.68,0.4099999999999999,917.0,Excellent
W212330071174501,24,Gujarat,Amreli,Kundla- Savar,Charkhadia1,21.388935,71.29323,2020,7.6,1152.0,0,50.0,35.0,17.0,50.0,16.0,2.4,262.0,2.9,2.25,772.0000000000001,Excellent
W212558071215001,25,Gujarat,Amreli,Kundla- Savar,Bhuva,21.427712,71.359647,2020,8.1,9343.0,0,2552.0,560.0,221.0,721.0,40.0,151.0,2008.0,81.0,0.84,6260.0,Poor
W212000071120001,26,Gujarat,Amreli,Dhari,Dharangani,21.328942,71.197764,2020,8.0,1687.0,0,347.0,64.0,135.0,490.0,96.0,61.0,188.0,0.86,0.29,1130.0,Poor
W211400071120001,27,Gujarat,Amreli,Khambha,Ingorala,21.226835,71.20256,2020,8.2,676.0,0,35.0,30.0,16.0,270.0,60.0,29.0,47.0,0.52,0.31,453.0,Excellent
