"Well_ID","S.No","","State","District","Taluka","","Site","Latitude","Longitude","Year","pH","EC","CO3","HCO3","Cl","SO4","NO3","PO4","TH","Ca","Mg","Na","K","F","TDS","SiO2"
"W232200071580001","1","Gujarat","","Ahmedabad","Mandal","Dalod","","23°22'12""","71°58'12""","2020","8.2","16640","0","1257","5176","822","26","","1451","152","260","3535","45","1.0","11149",""
"W231620072033001","2","Gujarat","","Ahmedabad","Viramgam","Endla","","23°16'12""","71°03'36""","2020","7.4","715","0","354","50","18","0.23","","280","56","34","47","11.0","0.46","479",""
"W222230071591001","3","Gujarat","","Ahmedabad","Dhandhuka","Dhandhuka1","","22.376073","71.987684","2020","8.2","7328","0","1135","1546","494","220","","681","72","122","1384","44","5.0","4910",""
"W221745071565001","4","Gujarat","","Ahmedabad","Dhandhuka","Tagadi1","","22.296421","71.945626","2020","8.1","2960","0","427","269","798","43","","550","132","54","437","24","0.8","1983",""
"W220900071533001","5","Gujarat","","Ahmedabad","Barwala","Barvala","","22.162375","71.894176","2020","8.2","7338","0","1293","1198","1002","33","","380","32","73","1550","0.27","3.8","4916",""
"W220550071535001","6","Gujarat","","Ahmedabad","Barwala","Lonjdhara","","22.096372","71.893154","2020","8.2","1264","0","500","142","30","49","","170","20","29","225","0.51","2.4","847",""
"W221830071413001","7","Gujarat","","Ahmedabad","Ranpur","Rajpada","","22.318608","71.69566","2020","8.1","708","0","293","57","30","37","","240","40.08","34","70","0.31","0.73","474",""
"W221610071420001","8","Gujarat","","Ahmedabad","Ranpur","Kundali","","22.260329","71.668467","2020","8.2","735","0","403","35","17","11","","310","44","49","45","0.26","0.37","492",""
"W213130071213001","9","Gujarat","","Amreli","Lilia","Punjapadar","","21.530495","71.359185","2020","7.1","436","0","183","35","38","0.39","","80","24","4.9","68","4.2","0.51","292",""
"W191810084453301","10","Gujarat","","Amreli","Lathi","Lathi","","21.726976","71.382977","2020","8.2","1055","0","390","149","41","12","","220","36","32","157","0.23","0.50","707",""
"W214330071280001","11","Gujarat","","Amreli","Lathi","Tajpur","","21.72537","71.461433","2020","7.9","444","0","220","28","19","5.5","","160","40","15","37","1.94","0.40","297",""
"W214900071244501","12","Gujarat","","Amreli","Lathi","Chavand","","21.81105","71.40574","2020","8.1","607","0","305","35","23","5.2","","210","40","27","58","0.90","0.40","407",""
"W215500071130001","13","Gujarat","","Amreli","Babra","Untvad","","21.906801","71.222832","2020","8.0","1215","0","244","156","57","174","","510","128","46","63","0.38","0.42","814",""
"W215730071121501","14","Gujarat","","Amreli","Babra","Kotadapitha","","21.951223","71.206321","2020","8.1","385","0","183","28","16","4.8","","140","24","19","30","1.94","0.40","258",""
"W213945070590001","15","Gujarat","","Amreli","Bagasara","Kunkavav","","21.6555","70.980484","2020","7.8","1306","0","305","199","101","68","","370","60","54","143","0.71","0.22","875",""
"W213500070580001","16","Gujarat","","Amreli","Bagasara","Vaghania juna","","21.583441","70.969502","2020","8.0","1296","0","598","106","41","35","","230","28","39","220","8.05","1.1","868",""
"W212845070574501","17","Gujarat","","Amreli","Bagasara","Bagasara","","21.476752","70.960818","2020","7.8","3589","0","403","780","260","230","","1101","132","187","357","0.39","0.46","2405",""
"W213630071133001","18","Gujarat","","Amreli","Amreli","Amreli","","21.609747","71.223979","2020","7.4","1280","0","317","199","96","50","","410","100","39","112","1.3","0.14","858",""
"W213230071093001","19","Gujarat","","Amreli","Amreli","Govadka","","21.542967","71.157289","2020","7.6","507","0","195","50","26","18","","160","32","19","50","9.5","0.29","340",""
"W213115071081001","20","Gujarat","","Amreli","Amreli","Vankiya","","21.539569","71.165526","2020","7.9","725","0","342","57","28","13","","90","16","12","136","0.67","0.69","486",""
"W212500071100001","21","Gujarat","","Amreli","Dhari","Chalala","","21.414865","71.165137","2020","8.2","580","0","220","71","32","8.8","","200","36","27","52","0.99","0.22","389",""
"W212234071070701","22","Gujarat","","Amreli","Dhari","Morjhar","","21.375768","71.113977","2020","7.8","833","0","293","121","30","22","","330","60","44","61","0.30","0.18","558",""
"W212350071130001","23","Gujarat","","Amreli","Dhari","Kerala","","21.389715","71.217799","2020","8.1","1369","0","500","206","36","23","","120","28","12","286","0.68","0.41","917",""
"W212330071174501","24","Gujarat","","Amreli","Kundla- Savar","Charkhadia1","","21.388935","71.29323","2020","7.6","1152","0","622","50","35","17","","50","16","2.4","262","2.9","2.25","772",""
"W212558071215001","25","Gujarat","","Amreli","Kundla- Savar","Bhuva","","21.427712","71.359647","2020","8.1","9343","0","805","2552","560","221","","721","40","151","2008","81","0.84","6260",""
"W212000071120001","26","Gujarat","","Amreli","Dhari","Dharangani","","21.328942","71.197764","2020","8.0","1687","0","293","347","64","135","","490","96","61","188","0.86","0.29","1130",""
"W211400071120001","27","Gujarat","","Amreli","Khambha","Ingorala","","21.226835","71.20256","2020","8.2","676","0","342","35","30","16","","270","60","29","47","0.52","0.31","453",""
"W211515071090001","28","Gujarat","","Amreli","Dhari","Virpur","","21.253927","71.145876","2020","7.3","1098","0","488","57","51","90","","450","104","46","65","3.5","0.25","736",""
"W214954071455801","29","Gujarat","","Amreli","Jafrabad","Timbi2","","20.897248","71.202100","2020","8.2","2073","0","451","390","112","85","","390","48","66","341","19","0.83","1389",""
"W205430071213701","30","Gujarat","","Amreli","Jafrabad","Kadiyali","","20.861747","71.302268","2020","8.4","2680","24","342","674","27","8.9","","450","132","29","363","12","1.00","1796",""
"W201200076010001","31","Gujarat","","Amreli","Jafrabad","Jafrabad","","20.868281","71.361554","2020","8.2","3374","0","549","645","177","150","","320","40","54","528","210","0.61","2261",""
"W205745071260001","32","Gujarat","","Amreli","Jafrabad","Lotpur","","20.961527","71.431147","2020","8.2","8755","0","256","2567","477","114","","901","64","179.968","1698","6.1","0.27","5866",""
"W205205071214501","33","Gujarat","","Amreli","Jafrabad","Bherai","","20.974028","71.486826","2020","8.4","3112","36","683","581","154","46","","450","32","90","515","13","0.86","2085",""
"W205530071211501","34","Gujarat","","Amreli","Jafrabad","Nageshri","","20.919667","71.342351","2020","7.7","1390","0","476","156","107","49","","370","72","46","164","7.5","0.27","931",""
"W210100071165001","35","Gujarat","","Amreli","Khambha","Trakuda","","21.016512","71.282878","2020","7.5","452","0","171","50","26","0.76","","150","36","15","44","1.5","0.27","303",""
"W210900071142001","36","Gujarat","","Amreli","Khambha","Khamba","","21.146447","71.238110","2020","8.2","698","0","366","35","22","24","","240","48","29","68","0.41","0.26","468",""
"W211400071150001","37","Gujarat","","Amreli","Khambha","Vankiya1","","21.232187","71.253270","2020","8.2","1408","0","464","142","85","136","","470","92","58","136","1.9","0.28","943",""
"W211557071202001","38","Gujarat","","Amreli","Kundla- Savar","Badhda","","21.266366","71.338387","2020","8.2","1275","0","244","177","100","124","","430","52","73","101","0.79","0.21","854",""
"W211330071244001","39","Gujarat","","Amreli","Kundla- Savar","Goradka","","21.228019","71.40808","2020","7.7","1324","0","183","234","97","135","","530","104","66","86","0.64","0.23","887",""
"W210600071350001","40","Gujarat","","Amreli","Rajula","Mandal","","21.099438","71.579290","2020","7.9","1976","0","329","376","101","123","","460","68","71","268","3.9","0.59","1324",""
"W212300071280001","41","Gujarat","","Amreli","Kundla- Savar","Piyava","","21.379547","71.460227","2020","8.2","1260","0","659","78","20","33","","220","28","36","220","0.37","0.39","844",""
"W224249073073601","42","Gujarat","","Anand","Umreth","Parvata","","22.69103","73.08475","2020","8.3","1148","36","476","71","76","6.9","","420","40","78","96","1.9","0.93","769",""
"W222120072535001","43","Gujarat","","Anand","Borsad","Bhadran","","22.38454","72.90141","2020","7.9","635","0","342","35","20","0.33","","270","64","27","32","1.3","0.28","425",""
"W222045072500001","44","Gujarat","","Anand","Borsad","Ras","","22.35408","72.83599","2020","8.1","1442","0","659","149","25","16","","160","28","22","284","8.5","4.5","966",""
"W221630072460001","45","Gujarat","","Anand","Cambay","Dali","","22.28326","72.76283","2020","8.2","3721","0","805","808","154","12","","550","80","85","605","21","3.4","2493",""
"W205212071030401","46","Gujarat","","Anand","Cambay","Kansari","","22.34061","72.65247","2020","8.2","4565","0","744","1035","262","46","","590","88","90","784","10","1.6","3059",""
"W222515072474001","47","Gujarat","","Anand","Petlad","Dharmaj","","22.42085","72.78762","2020","9.2","2488","180","573","262","154","79","","210","12","44","498","0.13","2.2","1667",""
"W223230072490001","48","Gujarat","","Anand","Petlad","Bandhani","","22.53747","72.81231","2020","8.5","1834","36","903","106","38","28","","130","8.0","27","408","0.56","2.3","1229",""
"W234010073102501","49","Gujarat","","Aravalli","Bhiloda","Punasan","","23.664824","73.171211","2020","7.9","810","0","256","64","90","36","","250","72","17","77","0.49","1.75","543",""
"W234110073220001","50","Gujarat","","Aravalli","Bhiloda","Shamlaji","","23.682976","73.368317","2020","8.0","501","0","220","50","15","3","","110","36","4.9","70","0.85","0.51","336",""
"W232911073235501","51","Gujarat","","Aravalli","Modasa","Seenawad","","23.476337","73.395622","2020","7.4","1427","0","305","227","100","109","","500","144","34","97","11.5","0.46","956",""
"W232430073273001","52","Gujarat","","Aravalli","Malpur","Hamirpur","","23.406389","73.460693","2020","7.5","1509","0","293","256","132","85","","480","144","29","125","0.99","0.63","1011",""
"W232041073275201","53","Gujarat","","Aravalli","Malpur","Malpur_1","","23.371466","73.455574","2020","7.6","807","0","280","64","11","106","","350","76","39","26","0.42","0.72","541",""
"W231030073201501","54","Gujarat","","Aravalli","Bayad","Sathamba","","23.173384","73.330353","2020","7.9","918","0","366","43","90","18","","330","56","46","58","1.6","0.74","615",""
